y,cluster,pred,score
0,0,1,0.5569869647290497
0,1,0,0.41719788400151114
0,0,1,0.5604324273623799
1,0,1,0.5750430111440727
1,0,1,0.5846830055978001
1,0,1,0.5452182767657038
0,1,0,0.4633142761373288
0,1,0,0.4567388120667053
1,0,1,0.5507263316665895
0,0,1,0.5506924236115334
0,1,0,0.41052255074545757
1,1,0,0.4991101536873532
1,0,1,0.6052781595988506
0,0,1,0.551917531429166
0,1,0,0.4469175833332669
0,1,0,0.43158664512911304
0,1,0,0.4602058878112933
0,1,0,0.4174630010368633
1,0,1,0.5917553897763914
0,0,1,0.5514693426932729
1,0,1,0.5729945057634105
0,1,0,0.44566264450688614
1,0,1,0.5798945417097094
1,0,1,0.6545715118741734
1,0,1,0.6153885748459339
0,0,1,0.5069390917699638
0,0,1,0.6101228435075121
1,0,1,0.6181793336511026
1,1,0,0.4475274297335588
0,0,1,0.5004701047975758
0,0,1,0.5996091608726251
1,1,0,0.46487137548782986
0,1,0,0.47130496273946104
1,0,1,0.543841447884176
1,0,1,0.633386180002902
0,0,1,0.5250622419622376
1,1,0,0.454691754151968
1,0,1,0.5849359282575871
1,0,1,0.5444376073631297
1,1,0,0.41718217259234774
0,0,1,0.5793754333085276
0,1,0,0.49956833362833686
0,1,0,0.47262702176742677
1,1,0,0.429254784825421
1,1,0,0.3850561050283294
1,0,1,0.6374432577471967
0,1,0,0.4335504380308078
0,1,0,0.4629227294096462
1,0,1,0.5853660174642358
1,0,1,0.5950558875424595
0,0,1,0.5059814322383387
1,1,0,0.4242689656267702
1,1,0,0.4425999951095122
0,1,0,0.45056363870714594
0,1,0,0.4226019237863759
1,1,0,0.4541886492051671
1,1,0,0.4960966590579105
0,0,1,0.61234682120538
1,0,1,0.5628861164074186
1,0,1,0.6057642250332268
1,0,1,0.5427300072006075
1,0,1,0.6209132925496558
1,0,1,0.5984467122031714
1,0,1,0.589263171580402
1,0,1,0.5970239457936805
0,0,1,0.6036789428803963
0,1,0,0.44575933923736455
0,1,0,0.4951905805528936
1,1,0,0.49593834175355994
1,1,0,0.4097806505176988
0,1,0,0.4603171984454498
0,1,0,0.4955692370538858
0,0,1,0.592815846239984
1,0,1,0.5823733785368685
0,0,1,0.5918622981398745
0,0,1,0.6002761316488798
0,1,0,0.4552367537969739
1,0,1,0.6608948786859918
1,0,1,0.5928041128696294
0,0,1,0.6089589674369674
0,0,1,0.5877934592390668
0,1,0,0.4283562887735317
1,0,1,0.5765711251557362
0,1,0,0.43350844592339743
1,0,1,0.5507263316665895
0,1,0,0.49416671093738657
0,0,1,0.5020978202858088
1,0,1,0.6153524372355124
1,0,1,0.5181476747399666
0,0,1,0.5376454126621008
1,0,1,0.6267002087623552
0,0,1,0.5894652333410466
1,0,1,0.6125240290259288
0,1,0,0.4225016452477311
0,1,0,0.44495650306102125
0,1,0,0.4245916364315252
0,0,1,0.621618724407956
0,1,0,0.4736651033570304
1,1,0,0.440975248558766
0,1,0,0.48817776953457076
0,0,1,0.6017835771481101
1,0,1,0.6267878012209336
0,0,1,0.597088249868408
1,0,1,0.593664004119614
0,0,1,0.5841792765978754
1,1,0,0.43475509258499023
0,1,0,0.4688595310151699
0,1,0,0.4427530988373639
1,1,0,0.44807205524441296
0,0,1,0.6203739765495428
0,0,1,0.6226496893770155
1,0,1,0.5756603277272818
